"Total Transaction Value
($M)","M&A Completion Date
(dd/mm/yyyy)"
18.86,20/12/2018
0.77,30/06/2020
14.70,25/12/2020
7.85,17/05/2018
247.53,26/07/2021
3.47,04/02/2015
83.83,30/04/2017
97.10,01/06/2021
22.02,29/07/2015
3.21,07/03/2018
14.21,23/11/2015
13.00,19/07/2016
1.00,12/08/2020
264.98,14/02/2022
"5,319.12",01/11/2015
"1,611.40",22/06/2021
16.98,15/06/2015
565.53,30/06/2015
0.35,30/11/2018
72.32,01/07/2015
1.93,24/10/2016
4.51,24/10/2016
13.59,24/10/2016
14.26,26/12/2017
4.36,17/04/2017
5.40,21/09/2017
58.97,30/11/2017
5.25,06/01/2015
8.34,16/01/2018
8.10,15/03/2017
0.47,28/09/2015
11.61,28/03/2017
0.09,28/09/2016
0.12,12/07/2016
259.15,30/11/2017
0.23,29/08/2018
6.13,02/12/2022
100.93,18/12/2017
1.84,30/03/2015
786.77,01/08/2017
45.02,27/05/2020
0.62,16/02/2017
11.19,23/06/2022
31.20,31/12/2016
10.00,02/01/2018
0.57,31/07/2015
65.80,14/08/2015
2.77,27/06/2016
82.90,19/10/2021
0.30,10/03/2015
1.78,06/03/2020
8.16,29/09/2020
3.20,22/07/2021
4.35,27/10/2015
28.16,25/08/2015
0.16,27/03/2018
10.10,20/04/2018
15.39,24/10/2017
27.11,05/05/2017
5.28,01/11/2021
10.73,25/03/2021
1.47,21/12/2016
0.04,13/06/2016
16.23,01/07/2021
30.27,26/05/2022
16.35,19/01/2015
108.94,27/01/2021
2.05,26/03/2019
1.35,17/01/2019
15.05,26/03/2019
81.06,06/06/2019
7.16,01/03/2019
21.96,31/12/2020
1.45,28/01/2017
0.85,20/06/2020
0.58,30/12/2015
3.46,28/08/2021
6.71,15/12/2015
30.84,30/09/2016
11.33,20/11/2017
12.97,20/11/2018
7.23,16/12/2015
1.60,02/06/2021
9.23,23/04/2016
7.86,09/06/2022
0.70,09/10/2019
22.37,11/12/2015
27.06,11/05/2015
13.29,22/10/2019
151.75,16/12/2022
5.10,23/10/2019
125.37,26/04/2022
154.06,15/12/2015
10.48,13/09/2016
6.95,15/12/2015
3.07,07/12/2020
110.83,27/12/2017
2.45,03/10/2018
1.57,01/03/2019
0.69,28/12/2016
1.84,27/11/2017
1.06,28/12/2015
0.66,13/10/2021
17.54,31/01/2016
NA,21/03/2017
3.92,30/12/2016
0.03,15/03/2017
36.80,06/01/2016
0.23,31/03/2015
19.14,01/04/2018
0.06,31/12/2018
0.67,01/11/2016
29.05,31/07/2019
16.81,01/04/2022
19.38,31/03/2020
2.93,25/11/2016
1.66,30/09/2019
32.35,31/07/2020
134.00,31/12/2015
14.18,28/12/2016
3.75,02/09/2020
17.96,16/04/2021
34.00,01/05/2022
16.55,01/09/2021
25.98,27/06/2018
2.96,17/08/2016
37.53,05/06/2021
11.30,09/03/2016
17.70,30/12/2020
0.12,10/02/2017
31.64,23/10/2018
6.02,07/09/2015
0.17,16/09/2015
0.16,30/03/2017
700.00,01/10/2021
56.01,21/07/2016
16.10,25/07/2016
405.00,28/09/2018
43.19,04/03/2021
3.00,12/02/2018
1.05,15/06/2018
342.94,18/12/2020
162.68,26/08/2015
11.04,30/06/2021
18.06,01/03/2016
24.90,06/10/2021
"1,682.21",16/06/2021
7.05,08/06/2018
3.80,05/07/2018
18.29,30/09/2017
22.13,16/10/2017
49.00,05/02/2021
400.00,15/11/2018
79.81,17/02/2015
218.03,17/07/2015
22.70,01/05/2017
46.56,31/12/2015
NA,18/05/2015
0.19,29/09/2017
65.18,28/03/2019
447.94,13/08/2021
29.22,27/07/2016
7.86,27/07/2017
90.85,05/12/2017
29.06,01/01/2019
33.97,30/06/2015
181.04,16/10/2017
78.78,16/01/2015
"1,043.26",31/05/2016
90.46,24/06/2016
"1,162.02",19/10/2016
2.00,05/01/2015
17.03,29/11/2019
1.63,21/04/2022
44.42,30/09/2016
14.00,31/10/2015
4.75,15/06/2021
8.69,21/02/2017
0.01,02/10/2020
31.20,16/01/2017
"1,000.00",05/07/2022
3.13,14/12/2020
17.00,31/12/2018
1.29,31/08/2015
12.44,17/04/2018
63.02,01/06/2020
22.27,01/10/2021
10.41,12/01/2017
2.23,01/08/2016
720.00,22/05/2020
5.84,30/07/2021
"1,900.00",29/09/2017
1.89,24/11/2020
36.60,07/07/2017
67.12,03/03/2021
0.02,03/06/2015
0.01,30/06/2017
4.83,17/11/2016
"2,419.08",01/07/2020
70.47,27/10/2022
20.10,31/01/2020
31.10,01/01/2017
16.03,29/11/2016
185.00,13/10/2021
9.24,01/07/2018
0.65,13/05/2015
23.91,30/06/2016
5.67,30/04/2015
45.14,17/11/2020
92.54,11/11/2020
21.36,12/10/2022
144.96,19/11/2021
26.00,25/07/2017
1.91,31/07/2015
27.17,11/03/2020
51.29,23/09/2019
32.74,11/03/2015
289.14,23/01/2015
170.00,08/04/2016
21.15,01/07/2015
0.35,15/08/2016
25.80,28/09/2015
1.67,23/02/2018
15.10,16/10/2017
21.12,24/02/2017
6.18,01/04/2021
382.77,28/12/2016
11.39,24/06/2015
5.92,16/03/2017
0.08,22/02/2017
28.16,20/12/2017
"1,600.00",31/12/2018
178.89,31/05/2017
190.41,11/09/2019
234.30,31/03/2016
388.47,06/07/2017
293.32,31/03/2016
4.56,28/07/2016
50.90,02/06/2015
9.00,14/08/2015
2.75,10/06/2021
0.20,31/05/2018
58.20,26/07/2018
142.35,01/10/2018
7.65,05/01/2015
7.99,30/01/2015
2.27,21/12/2015
0.39,26/05/2021
0.41,29/07/2016
0.00,27/10/2021
49.00,22/01/2019
0.42,20/02/2020
1.81,26/07/2018
438.64,31/07/2019
10.28,07/10/2016
50.00,30/03/2016
2.88,28/06/2019
196.65,18/01/2018
27.00,31/12/2015
50.04,28/05/2021
7.13,16/12/2019
5.61,15/02/2022
10.00,01/12/2020
161.77,08/04/2019
37.66,09/05/2018
70.00,13/05/2020
4.67,04/03/2016
33.70,31/12/2017
41.82,31/03/2016
39.28,11/10/2015
1.59,19/06/2015
127.24,23/03/2016
"1,825.07",21/01/2019
68.73,29/10/2020
3.31,10/04/2019
1.20,30/07/2019
5.74,08/01/2016
50.27,29/10/2021
12.41,26/11/2015
0.92,26/06/2015
20.29,31/08/2018
7.11,31/01/2017
25.41,02/03/2016
55.87,31/01/2016
38.95,30/01/2015
29.35,28/09/2017
27.25,13/01/2015
"1,262.05",07/07/2022
20.77,10/06/2019
0.00,10/09/2020
6.95,10/07/2018
29.44,17/01/2020
37.49,20/03/2017
30.77,24/05/2016
100.43,30/11/2016
11.37,10/06/2020
302.13,13/02/2019
12.68,12/03/2021
17.57,01/06/2016
"1,135.00",01/10/2019
59.93,29/06/2016
27.35,27/01/2017
14.01,23/03/2021
1.47,18/09/2018
0.20,31/08/2018
116.91,31/05/2018
2.80,10/10/2016
0.08,31/12/2019
117.06,26/05/2017
23.18,14/12/2015
1.90,02/01/2020
390.88,07/07/2017
250.98,28/08/2019
176.30,27/09/2018
126.69,27/07/2017
0.01,27/12/2016
297.45,01/10/2018
39.28,17/10/2018
0.08,31/03/2015
122.99,31/12/2021
128.70,19/02/2018
262.80,04/03/2015
1.22,31/12/2019
5.57,16/07/2018
8.76,27/01/2020
3.38,26/03/2018
0.06,15/09/2020
13.80,01/09/2021
177.66,01/11/2022
1.20,01/01/2021
0.57,31/03/2022
154.00,14/01/2016
"49,411.24",28/02/2022
200.93,01/12/2015
74.93,06/02/2017
450.34,22/11/2022
24.01,06/04/2016
2.90,01/10/2021
4.54,12/04/2016
5.09,16/01/2019
2.50,01/06/2018
3.56,08/01/2020
0.45,17/03/2022
2.26,23/06/2021
33.10,31/01/2017
0.04,30/06/2015
28.77,02/07/2019
15.87,23/10/2017
4.06,04/07/2018
3.16,08/12/2015
9.94,03/05/2018
0.04,03/01/2017
0.43,22/11/2017
144.41,17/03/2022
2.62,03/01/2017
23.12,01/03/2022
0.06,31/03/2017
0.11,18/09/2017
86.90,30/10/2015
223.04,16/09/2019
2.81,01/12/2015
0.30,17/06/2022
40.28,16/11/2016
0.32,07/02/2017
1.13,20/12/2021
1.99,01/07/2021
82.80,18/02/2021
388.91,31/05/2015
0.12,22/09/2020
0.30,01/06/2018
1.25,26/11/2020
87.00,01/06/2017
19.11,23/04/2018
0.00,31/08/2018
0.75,13/03/2018
105.63,01/11/2019
4.61,03/02/2015
17.48,03/08/2022
7.25,27/01/2017
9.68,12/06/2015
88.54,14/12/2017
2.40,02/02/2016
"3,328.44",03/08/2015
98.92,20/02/2017
3.64,31/10/2021
9.47,18/11/2020
82.87,17/06/2015
1.10,04/01/2018
13.25,26/05/2022
57.21,30/12/2015
21.00,02/02/2015
1.96,17/08/2018
44.63,31/05/2020
13.40,01/06/2018
2.25,19/07/2016
52.44,25/11/2021
12.05,04/11/2020
7.77,29/05/2015
18.97,28/06/2021
22.00,31/08/2016
20.94,06/07/2018
37.10,18/05/2016
22.20,08/12/2017
20.59,23/05/2021
6.79,07/03/2016
0.31,03/03/2017
0.93,26/07/2017
75.00,02/03/2021
8.60,31/05/2019
"1,809.63",10/01/2019
0.53,04/10/2017
13.99,14/07/2017
497.39,16/09/2016
33.00,01/04/2017
2.70,05/04/2015
"14,449.71",03/10/2016
0.12,10/06/2021
1.61,28/04/2017
0.14,26/07/2021
9.78,18/12/2017
0.97,06/09/2017
0.70,28/12/2017
1.50,13/06/2019
15.71,05/05/2020
0.75,19/06/2019
206.38,31/03/2015
5.90,24/04/2020
108.32,30/10/2018
0.02,14/02/2019
5.87,18/12/2015
24.38,29/09/2021
30.00,03/06/2021
30.49,31/08/2016
10.09,06/03/2018
5.20,21/08/2018
4.00,05/02/2018
0.06,19/07/2018
0.89,19/07/2018
3.03,29/11/2019
8.19,15/05/2020
14.32,02/07/2015
6.97,13/03/2018
13.50,13/01/2017
79.60,26/01/2015
30.37,10/11/2016
314.10,15/02/2022
239.39,14/07/2017
19.80,21/11/2016
1.90,25/09/2015
3.31,05/02/2018
0.06,06/12/2017
6.35,30/04/2015
0.03,07/06/2022
0.24,23/12/2022
8.25,08/03/2019
1.69,14/04/2016
0.00,31/03/2017
0.13,02/07/2021
4.33,30/09/2019
10.00,19/10/2022
0.02,08/06/2022
0.01,09/12/2017
99.65,07/02/2019
2.95,19/01/2016
63.11,21/10/2015
1.20,19/11/2015
5.24,19/11/2015
9.83,19/11/2015
5.19,05/11/2015
20.43,29/03/2017
14.75,30/03/2016
10.80,07/09/2015
1.39,27/10/2015
15.17,23/12/2016
0.51,23/01/2021
0.05,21/01/2021
0.51,09/02/2021
0.50,15/09/2021
0.02,30/09/2015
12.44,21/10/2016
0.32,12/08/2016
110.46,20/07/2016
18.84,01/10/2021
55.20,11/04/2017
3.38,14/01/2022
254.74,12/08/2016
35.94,30/09/2016
6.68,02/03/2016
6.81,02/03/2016
3.91,01/03/2016
0.23,26/02/2018
4.49,01/06/2020
"1,127.00",04/01/2021
0.78,01/05/2021
14.77,05/04/2018
0.07,03/03/2016
0.09,12/11/2020
112.88,29/06/2020
19.29,09/07/2020
4.81,05/05/2017
10.37,31/12/2016
29.00,20/07/2018
24.30,03/05/2021
46.20,31/12/2015
7.82,01/11/2021
178.59,29/06/2020
1.00,20/04/2021
3.57,30/04/2021
2.47,30/04/2021
3.86,01/04/2021
4.74,10/05/2021
1.57,10/06/2021
6.19,06/07/2021
7.72,13/07/2021
2.17,06/08/2021
5.37,20/08/2021
2.33,14/10/2021
1.52,26/04/2022
0.49,18/05/2022
3.26,27/05/2022
3.76,16/06/2022
8.50,30/12/2022
262.65,26/05/2015
387.44,15/05/2017
"3,221.30",31/12/2020
149.12,22/09/2016
614.62,30/11/2015
NA,11/02/2016
1.99,31/10/2019
"2,037.42",13/02/2015
"2,710.46",13/05/2015
"1,626.23",09/07/2015
9.00,16/12/2022
4.00,29/04/2016
7.70,12/05/2015
364.58,08/11/2016
30.11,31/12/2015
"1,264.98",18/12/2015
6.80,29/12/2016
13.40,25/06/2015
237.91,07/10/2021
47.50,01/02/2019
10.80,31/12/2021
75.33,30/06/2017
12.85,23/11/2022
0.35,16/03/2018
12.74,01/12/2015
0.08,02/10/2015
129.90,01/08/2018
29.33,23/07/2018
10.59,10/11/2016
25.00,03/05/2019
4.41,22/03/2019
19.93,30/07/2018
161.00,18/11/2020
0.12,25/01/2016
25.00,31/07/2019
9.60,07/04/2017
9.16,29/09/2022
35.99,12/04/2021
1.07,19/07/2019
0.29,06/03/2015
12.18,01/05/2020
23.77,27/10/2017
0.01,05/01/2018
"1,559.49",02/07/2018
8.74,23/01/2019
35.00,01/10/2015
1.13,25/11/2016
6.01,23/10/2017
525.00,05/10/2018
"1,250.04",04/11/2016
3.54,15/03/2019
0.16,31/12/2018
43.52,20/01/2022
1.95,02/07/2015
0.42,20/08/2018
0.81,04/01/2016
72.53,28/12/2017
5.29,01/03/2019
1.71,26/08/2019
12.60,30/10/2015
"2,000.00",21/02/2017
4.66,28/07/2020
44.41,29/07/2021
"4,785.09",06/08/2015
2.35,27/09/2016
91.00,15/09/2021
6.18,30/09/2015
14.48,04/03/2016
413.27,01/04/2015
40.40,02/01/2015
192.00,30/09/2021
0.76,11/12/2018
0.07,22/08/2015
8.34,31/01/2018
2.03,16/05/2016
45.20,09/08/2016
9.15,08/02/2017
10.56,24/04/2015
2.61,23/02/2018
1.46,23/02/2017
12.30,02/10/2019
92.55,21/07/2021
21.44,27/03/2017
481.56,01/07/2020
3.80,11/03/2019
6.67,30/07/2015
"2,150.00",17/09/2021
93.62,08/09/2022
307.47,10/02/2022
6.00,05/08/2020
1.99,13/12/2019
5.01,03/02/2020
9.90,13/03/2020
5.65,07/12/2020
10.48,14/07/2016
20.25,30/06/2020
335.62,25/03/2021
1.44,10/12/2021
223.50,11/02/2022
33.81,20/07/2015
"2,906.68",01/04/2015
6.03,04/05/2021
4.80,06/01/2017
4.53,01/07/2019
"4,052.42",04/10/2022
"10,948.16",28/10/2020
413.25,19/05/2015
104.64,29/05/2015
7.13,31/10/2020
0.67,12/12/2019
63.66,03/05/2016
11.30,08/04/2016
44.40,01/10/2019
0.63,21/02/2017
0.01,31/03/2022
19.18,31/12/2017
27.00,10/09/2021
39.63,30/03/2017
73.34,16/11/2015
1.93,22/06/2017
13.80,05/03/2019
25.34,19/08/2020
"1,710.00",31/12/2017
0.06,13/11/2015
0.22,24/04/2018
29.12,22/02/2021
83.40,29/08/2022
0.03,27/04/2018
20.44,22/02/2017
2.13,31/12/2019
0.10,02/06/2015
4.74,04/09/2021
94.64,30/09/2018
165.02,28/06/2016
"1,333.15",12/12/2016
8.92,31/12/2015
0.11,08/03/2017
57.01,21/05/2019
12.59,29/09/2017
200.67,20/12/2021
19.04,14/04/2017
376.64,30/09/2016
92.87,31/12/2015
62.17,29/09/2015
0.60,19/08/2020
61.75,29/05/2020
18.73,26/12/2016
2.05,01/07/2015
8.82,27/03/2020
0.00,31/10/2019
21.58,14/06/2018
0.83,01/03/2016
9.00,28/07/2015
42.76,27/03/2018
2.02,28/01/2022
0.21,24/08/2015
8.34,16/02/2016
11.94,09/01/2015
2.60,09/08/2016
9.40,03/06/2021
650.98,04/12/2015
5.17,31/03/2015
0.09,24/03/2017
0.33,24/02/2022
3.13,16/07/2020
48.26,09/07/2020
2.35,05/06/2017
5.00,21/05/2019
4.59,10/05/2021
5.70,01/07/2015
57.06,01/11/2021
37.90,01/07/2019
25.21,17/04/2018
120.08,15/05/2020
5.00,21/09/2022
85.40,24/06/2022
"1,038.30",31/03/2021
270.00,05/05/2017
23.27,22/01/2018
0.20,29/12/2017
2.73,05/08/2015
"7,866.01",24/11/2021
0.02,10/12/2015
5.00,12/04/2017
9.72,30/09/2017
36.05,06/04/2021
3.91,12/06/2017
0.00,30/09/2020
84.45,31/08/2018
62.00,14/01/2019
4.93,02/05/2018
34.10,08/06/2021
10.04,03/06/2016
0.00,14/04/2022
0.03,12/10/2017
12.26,17/01/2018
2.20,16/03/2018
11.02,30/12/2016
18.14,13/05/2016
23.81,11/11/2020
3.96,01/06/2017
1.95,03/03/2020
113.98,15/10/2021
4.11,07/03/2022
45.85,07/03/2017
6.50,16/10/2015
0.67,24/06/2021
7.00,05/09/2018
61.36,13/08/2015
NA,08/12/2017
19.22,23/11/2018
11.46,01/04/2020
32.00,23/09/2020
9.10,18/08/2015
12.00,14/09/2015
0.14,06/04/2021
500.00,24/07/2019
2.28,08/09/2017
1.45,01/08/2021
0.86,03/12/2018
6.74,31/03/2016
0.01,04/05/2022
56.41,05/07/2019
67.90,02/08/2019
139.44,04/06/2021
0.15,01/01/2016
"1,350.00",01/07/2019
720.00,16/10/2017
34.40,18/10/2017
52.42,26/04/2018
0.02,27/06/2017
969.50,09/02/2021
0.11,19/12/2018
508.20,13/10/2020
0.49,14/04/2021
206.73,23/08/2022
0.91,01/01/2019
0.24,17/12/2018
1.02,19/05/2020
2.48,15/02/2021
143.96,05/11/2018
0.52,24/08/2020
5.02,01/04/2021
135.00,14/04/2021
18.50,18/04/2017
30.80,31/03/2016
4.36,01/09/2017
500.32,03/05/2022
536.90,01/07/2016
3.87,01/04/2016
311.35,01/07/2015
9.98,31/03/2021
23.73,01/07/2016
16.85,30/09/2016
12.08,20/10/2021
4.17,24/02/2021
8.72,31/12/2019
27.78,08/02/2018
3.24,24/01/2018
600.63,29/05/2015
5.38,09/09/2019
0.12,30/09/2021
829.15,03/08/2017
18.48,24/02/2017
32.40,04/03/2022
16.00,24/07/2018
24.34,18/12/2017
15.00,03/03/2022
6.92,01/07/2021
111.35,01/09/2015
30.02,28/07/2017
67.00,01/11/2015
0.41,15/06/2016
0.22,02/06/2016
54.90,03/07/2019
41.54,23/04/2018
44.80,15/09/2017
0.56,07/07/2016
1.27,07/01/2021
1.93,10/03/2021
80.00,10/12/2021
2.02,05/07/2021
1.45,27/12/2016
0.40,22/05/2016
186.82,01/06/2018
172.70,04/03/2015
17.50,20/07/2015
26.49,04/10/2017
0.78,23/06/2022
107.22,14/10/2020
3.21,07/06/2022
"3,100.00",03/04/2017
8.00,20/03/2018
0.40,29/09/2015
19.00,01/04/2016
"1,000.00",04/10/2018
27.12,23/03/2018
1.13,31/08/2021
8.35,23/03/2021
60.80,02/03/2021
5.28,07/07/2022
0.37,26/09/2022
8.81,06/06/2017
2.02,31/10/2020
0.02,03/06/2015
0.46,07/05/2015
"3,550.00",03/10/2016
3.64,31/08/2020
0.11,29/06/2016
2.50,05/07/2017
10.75,15/01/2021
2.05,31/12/2020
0.35,31/08/2015
6.10,01/04/2015
18.41,05/03/2019
2.44,15/03/2017
0.92,21/08/2015
3.07,31/12/2016
7.15,18/01/2018
35.70,23/02/2021
4.73,06/10/2017
1.70,01/04/2019
85.60,12/01/2015
0.14,21/08/2017
0.26,17/11/2021
0.31,01/11/2021
41.76,22/02/2021
3.00,04/10/2022
20.45,30/12/2021
29.63,27/06/2019
0.01,01/09/2016
0.01,01/09/2016
0.01,01/09/2016
0.01,01/09/2016
0.01,01/09/2016
260.00,30/03/2017
9.20,08/03/2022
9.82,06/06/2021
29.00,20/04/2020
"7,404.01",14/12/2015
19.93,31/03/2017
"1,879.63",30/05/2022
5.41,12/02/2018
3.50,02/01/2015
0.68,14/05/2021
2.50,02/01/2018
57.00,29/04/2016
0.46,03/10/2018
13.47,30/11/2016
94.19,23/12/2015
1.00,05/11/2019
75.00,01/07/2022
28.56,31/08/2018
364.78,11/12/2015
49.86,16/06/2020
8.20,10/03/2017
11.78,02/02/2015
25.20,02/05/2022
0.40,11/02/2015
359.00,11/04/2018
56.90,25/09/2017
0.04,31/08/2015
5.68,01/06/2016
2.34,12/04/2021
3.37,27/05/2021
0.01,01/09/2016
4.35,04/09/2019
0.83,14/11/2019
0.85,05/01/2015
460.00,08/05/2018
323.10,26/07/2018
64.41,01/02/2017
185.42,28/02/2018
NA,31/08/2018
3.24,01/01/2020
6.16,20/01/2021
1.24,31/07/2017
511.15,30/06/2015
43.56,12/05/2015
24.49,06/04/2021
56.00,24/05/2018
42.43,30/06/2022
22.00,31/05/2015
3.06,22/09/2016
0.02,30/03/2021
2.73,03/03/2022
4.16,08/03/2022
17.22,14/04/2022
1.28,20/04/2022
3.92,19/07/2018
0.64,06/12/2018
70.00,08/04/2022
244.03,14/04/2021
239.16,16/10/2020
226.67,31/03/2017
200.61,27/03/2017
10.29,21/07/2021
14.20,15/08/2018
8.45,31/07/2020
7.70,18/08/2021
53.27,14/10/2019
114.67,01/01/2019
400.80,26/05/2017
"5,650.00",02/01/2015
20.35,23/12/2016
2.05,15/10/2020
2.43,09/08/2019
25.00,28/02/2018
3.27,21/12/2015
17.88,23/01/2017
26.82,07/11/2019
8.96,17/12/2018
45.00,03/10/2019
4.07,29/12/2021
968.91,21/09/2015
31.43,22/03/2019
70.00,07/11/2018
48.28,19/05/2016
9.28,02/04/2015
2.08,20/12/2018
9.57,01/12/2017
"1,496.43",12/03/2021
783.20,08/12/2022
1.79,31/07/2017
67.40,02/03/2016
109.66,11/01/2019
89.70,15/02/2019
20.17,16/05/2019
182.30,02/06/2018
2.15,06/12/2021
243.80,10/02/2015
3.23,02/10/2017
81.98,24/02/2017
3.17,11/07/2017
109.76,20/07/2015
134.58,19/12/2017
"1,274.74",25/06/2015
383.35,04/08/2015
274.80,29/04/2022
"1,035.36",01/07/2020
6.13,19/08/2020
5.12,01/04/2020
17.20,02/06/2015
14.99,01/04/2021
"1,500.00",16/11/2018
799.92,19/01/2017
11.39,12/04/2021
1.00,22/12/2016
250.00,30/06/2022
2.99,09/08/2022
15.51,21/07/2016
6.93,01/08/2017
25.13,16/01/2020
12.68,28/02/2018
65.00,12/10/2015
307.49,23/10/2019
37.88,23/10/2019
18.34,01/11/2019
6.00,19/10/2018
3.00,12/09/2017
15.50,02/07/2015
55.32,22/12/2021
0.89,31/10/2018
10.21,02/04/2015
0.93,02/03/2021
3.57,08/08/2016
4.10,19/04/2018
15.00,27/07/2020
55.00,01/10/2015
347.43,22/01/2016
0.84,24/02/2017
3.19,12/04/2021
0.32,25/09/2017
103.65,21/12/2018
6.97,15/04/2015
0.29,20/09/2018
71.85,06/06/2016
0.00,13/04/2015
0.00,12/03/2015
0.01,26/02/2015
206.67,13/02/2015
0.43,24/08/2016
0.00,22/04/2015
0.00,13/04/2015
48.03,30/12/2019
38.50,24/05/2018
23.80,16/09/2016
1.46,09/03/2017
1.46,09/03/2017
2.02,07/11/2015
0.96,01/09/2016
"1,000.00",01/02/2021
49.05,31/10/2019
79.85,05/03/2015
0.02,14/05/2020
0.70,25/01/2016
5.23,14/12/2020
713.56,17/12/2021
41.87,21/07/2016
0.02,07/08/2019
2.51,27/05/2019
81.92,31/07/2019
273.87,29/06/2018
1.12,12/06/2015
18.50,19/07/2021
114.94,01/09/2020
3.51,24/05/2018
51.13,30/11/2018
32.90,31/05/2015
500.00,31/12/2021
981.40,31/07/2018
510.00,18/02/2020
"1,113.03",01/03/2019
10.00,21/01/2016
62.80,12/10/2018
55.60,11/12/2019
"3,557.47",06/04/2022
60.50,02/03/2018
0.43,18/03/2015
27.40,04/10/2017
12.00,31/08/2019
7.70,01/10/2019
285.00,10/11/2017
6.08,26/07/2021
0.51,10/03/2016
120.00,22/03/2017
5.90,01/10/2015
0.54,29/12/2016
7.73,05/08/2019
8.00,22/07/2021
80.00,01/03/2021
20.00,03/12/2021
20.00,13/01/2022
654.57,01/09/2021
33.20,19/01/2022
28.16,31/01/2016
9.00,22/07/2016
"1,340.00",10/01/2018
37.26,03/02/2017
11.50,19/10/2015
0.25,30/06/2016
10.17,19/07/2022
"2,550.62",29/06/2021
251.00,30/11/2021
399.73,31/05/2016
30.20,09/04/2021
117.58,30/09/2019
5.64,27/09/2016
0.55,11/05/2020
3.34,22/09/2015
47.03,09/06/2022
22.00,25/10/2019
51.65,20/09/2021
100.13,01/10/2018
0.13,30/06/2015
717.35,16/05/2019
"1,200.00",09/02/2015
5.92,31/08/2018
7.07,09/12/2016
"1,625.00",22/08/2019
24.72,08/02/2018
26.00,29/01/2020
8.70,30/09/2016
0.00,09/09/2019
"1,855.00",02/08/2018
1.18,02/07/2018
1.56,30/06/2017
10.00,30/04/2017
225.30,15/04/2019
301.00,15/07/2020
0.69,29/11/2019
5.06,08/02/2018
0.00,23/03/2020
1.00,24/01/2018
2.13,14/09/2021
40.00,30/07/2017
0.83,08/06/2021
55.00,30/06/2019
0.00,28/04/2017
13.21,29/04/2019
0.00,31/01/2022
0.07,28/02/2017
108.83,07/08/2021
124.75,30/04/2015
5.20,19/11/2020
304.15,31/12/2015
"5,296.56",30/06/2018
170.48,27/03/2018
4.22,04/06/2018
0.76,16/04/2020
2.35,01/11/2015
7.00,02/02/2016
50.00,29/12/2016
"2,098.01",20/11/2015
"2,935.29",01/05/2017
"2,737.73",07/11/2022
0.01,25/09/2020
0.29,30/12/2016
0.14,25/11/2016
2.58,16/12/2020
37.28,29/01/2018
2.00,09/07/2021
12.03,31/01/2018
5.48,17/08/2016
7.88,19/03/2015
1.87,07/11/2017
0.96,30/06/2022
0.52,31/01/2018
0.52,19/12/2017
0.40,02/12/2020
8.06,01/09/2020
0.44,18/05/2016
13.58,18/05/2016
14.09,01/10/2019
271.14,14/01/2016
255.35,02/03/2020
4.90,20/10/2020
28.33,12/05/2017
15.08,01/12/2016
83.50,17/07/2017
NA,01/07/2016
13.59,01/07/2016
0.10,21/02/2018
0.15,01/03/2019
"1,721.74",15/12/2021
0.00,12/12/2022
6.28,29/08/2018
631.00,31/10/2016
1.19,26/04/2016
8.40,13/06/2017
65.94,02/01/2018
30.39,26/02/2018
"2,328.60",18/12/2015
35.00,11/02/2015
0.16,13/04/2022
2.24,12/05/2016
19.56,31/12/2019
11.24,11/04/2019
22.80,31/05/2015
59.56,25/05/2017
10.49,01/01/2015
190.00,31/07/2015
34.32,10/10/2018
38.33,25/07/2022
10.39,23/06/2016
29.83,02/11/2016
42.44,22/12/2022
7.93,01/06/2016
132.00,01/12/2022
176.18,01/07/2018
6.23,01/11/2018
16.37,01/11/2018
14.50,08/04/2016
2.32,17/03/2016
1.50,05/09/2018
15.11,29/01/2021
96.58,12/10/2018
91.68,26/10/2016
414.14,22/02/2022
334.00,03/12/2019
1.31,18/06/2019
0.23,01/04/2016
7.72,21/03/2018
23.00,11/05/2017
120.50,22/12/2015
12.00,27/05/2016
160.01,20/07/2021
21.00,09/07/2021
594.02,18/07/2022
0.70,12/05/2017
19.25,05/01/2016
0.01,30/03/2016
"2,580.40",12/05/2021
1.79,30/04/2015
5.19,01/11/2016
0.02,01/07/2018
3.72,19/02/2020
19.24,31/08/2018
12.79,01/07/2020
1.58,23/03/2020
4.02,01/12/2017
119.71,23/05/2017
"3,429.90",03/02/2022
0.15,10/06/2015
"1,600.00",23/01/2017
7.90,15/07/2021
12.04,13/12/2016
7.60,17/05/2016
2.85,30/06/2016
16.61,17/05/2016
17.01,30/09/2022
83.07,09/08/2016
20.64,01/09/2021
165.00,16/12/2019
4.46,21/07/2020
"2,226.30",20/09/2018
1.60,13/03/2020
21.69,29/01/2021
2.35,07/01/2015
56.16,08/09/2016
23.76,01/11/2017
1.50,27/12/2019
1.69,11/04/2016
49.60,06/08/2021
"1,100.00",07/09/2016
44.79,01/10/2020
42.43,07/04/2016
2.59,01/05/2021
46.21,23/10/2017
26.56,23/10/2020
26.56,31/08/2020
2.36,28/11/2017
3.02,26/05/2015
39.44,27/04/2015
2.73,15/12/2020
2.74,09/10/2015
29.24,21/04/2016
584.20,07/08/2015
61.15,04/06/2018
95.17,11/03/2016
1.51,01/12/2015
30.59,01/08/2022
68.54,02/12/2017
0.00,04/08/2022
174.00,24/02/2020
0.07,28/07/2020
516.17,28/04/2020
63.68,23/06/2022
0.08,23/02/2018
0.00,21/02/2017
