"Total Transaction Value
($M)","M&A Completion Date
(dd/mm/yyyy)"
2.42,01/10/2016
50.00,30/08/2021
8.08,28/04/2017
2.64,25/09/2017
0.19,23/10/2019
78.55,17/12/2018
10.50,17/11/2022
2.20,31/12/2015
27.98,10/10/2016
8.40,31/10/2015
0.00,29/12/2020
1.55,13/12/2018
133.50,28/02/2018
0.35,15/03/2016
233.53,31/12/2018
50.26,09/10/2018
243.10,16/01/2020
50.00,12/12/2022
1.53,18/11/2020
12.64,30/09/2016
93.91,10/05/2016
0.01,30/06/2018
59.48,06/07/2021
40.70,08/12/2016
19.20,03/02/2020
10.25,11/08/2017
3.41,31/08/2021
17.60,20/12/2017
266.20,02/06/2017
109.76,31/12/2015
1.34,30/04/2016
12.00,15/09/2015
25.06,09/04/2015
556.96,29/07/2022
238.52,08/11/2021
0.00,23/11/2022
62.05,24/12/2020
283.39,07/06/2022
167.45,07/07/2022
19.00,29/07/2019
3.58,08/12/2022
2.88,15/08/2017
76.28,26/10/2018
0.52,30/06/2017
3.05,31/01/2016
653.00,31/03/2022
28.42,11/02/2015
1.51,31/05/2016
24.00,10/08/2016
314.17,01/12/2016
103.17,09/03/2015
3.40,04/12/2015
2.10,19/02/2021
60.86,27/10/2017
12.20,05/10/2015
12.90,11/12/2015
0.56,14/01/2021
4.50,21/11/2015
86.19,21/08/2015
21.68,26/04/2016
74.71,01/12/2017
146.86,02/05/2019
80.00,17/05/2021
14.06,31/12/2015
100.00,22/12/2022
1.10,22/04/2016
102.01,13/12/2016
91.26,13/04/2021
120.00,06/05/2022
79.77,31/01/2016
9.90,20/12/2016
441.23,30/06/2020
30.76,20/10/2015
3.25,13/11/2015
94.75,30/11/2022
3.00,31/08/2015
5.22,28/05/2015
75.50,07/11/2022
55.25,28/06/2016
3.08,31/08/2016
2.60,31/01/2016
30.32,17/02/2015
18.50,31/10/2022
6.75,31/03/2020
168.55,27/05/2015
3.15,16/12/2021
9.29,19/08/2016
17.24,27/11/2019
98.88,27/11/2019
15.21,27/11/2019
0.36,31/12/2018
164.94,31/12/2020
94.99,08/10/2018
13.10,01/04/2021
215.51,01/10/2021
15.30,31/03/2017
6.00,30/06/2015
11.20,31/07/2022
120.86,07/12/2015
85.00,19/11/2015
230.86,18/08/2022
31.54,09/06/2022
184.60,19/12/2022
38.50,31/08/2021
790.00,28/09/2015
332.76,24/04/2015
65.00,21/12/2022
2.98,17/01/2020
24.50,26/06/2015
84.00,27/10/2022
24.30,22/03/2016
10.50,29/12/2022
1.16,01/04/2021
96.51,23/10/2017
11.84,22/01/2019
11.67,02/10/2017
0.14,01/12/2020
0.22,10/05/2017
305.00,24/08/2021
50.67,27/11/2019
16.40,01/07/2015
950.00,11/03/2022
30.87,26/03/2020
3.56,10/12/2020
850.00,01/05/2017
37.36,09/02/2017
0.33,31/01/2016
0.01,15/09/2020
12.27,08/01/2015
13.90,14/02/2018
251.71,19/05/2022
23.50,18/05/2017
2.55,30/09/2019
17.30,15/10/2019
368.44,16/10/2015
137.55,28/03/2019
648.73,18/12/2017
2.80,28/11/2022
3.93,31/12/2015
11.80,28/02/2015
358.03,09/10/2019
37.00,13/04/2016
4.26,24/02/2022
19.17,25/06/2018
2.18,29/04/2016
64.63,17/04/2017
46.99,31/12/2015
26.50,21/11/2018
138.19,27/05/2017
25.28,20/07/2015
341.95,05/01/2015
0.10,26/05/2015
2.96,11/05/2015
8.50,21/12/2022
88.00,23/12/2022
8.81,27/07/2022
6.79,04/11/2015
10.60,06/07/2022
267.06,20/12/2018
95.14,29/05/2017
5.70,08/08/2016
22.00,23/01/2018
18.00,21/11/2022
2.72,16/12/2022
4.32,28/11/2016
92.74,15/12/2017
157.00,27/09/2018
10.00,11/05/2016
4.68,03/09/2019
22.07,31/07/2019
3.05,31/01/2016
2.78,18/12/2015
112.00,23/03/2015
151.00,27/04/2022
125.89,31/01/2016
22.40,10/02/2017
565.00,10/08/2017
17.18,02/12/2021
22.95,10/02/2022
39.59,31/10/2017
47.02,23/10/2019
4.20,27/11/2019
319.00,14/07/2020
3.93,05/01/2017
67.35,23/12/2022
4.00,31/12/2017
0.92,31/12/2016
22.85,29/02/2016
29.50,01/12/2021
3.15,19/08/2022
15.60,22/02/2016
32.73,25/11/2016
461.30,04/07/2016
608.00,30/06/2017
0.51,08/06/2015
2.72,11/04/2018
52.38,28/06/2016
"1,392.19",30/09/2016
311.33,10/04/2018
429.18,08/05/2018
52.59,20/02/2015
670.59,31/07/2015
11.89,27/06/2022
0.16,22/12/2022
0.12,19/03/2019
0.11,19/03/2019
0.76,30/12/2021
49.82,10/06/2016
"1,931.00",31/05/2015
0.13,10/03/2015
40.00,01/03/2019
10.00,07/05/2018
144.74,30/06/2015
1.30,28/07/2016
74.00,10/01/2017
0.21,31/12/2018
3.56,27/04/2015
136.16,04/05/2018
0.78,16/02/2017
0.25,16/05/2017
6.42,10/05/2016
18.50,24/11/2015
13.40,02/05/2016
1.53,26/07/2016
172.50,21/11/2016
103.76,24/03/2016
70.00,10/08/2017
20.39,03/10/2019
4.90,18/01/2016
37.50,08/06/2018
0.45,27/03/2019
9.12,12/03/2018
8.02,31/12/2016
52.41,22/12/2015
218.00,30/12/2016
379.74,10/03/2015
498.00,26/06/2015
35.00,31/01/2017
5.89,07/03/2016
0.26,08/03/2017
3.84,11/08/2015
2.36,01/06/2018
47.80,31/08/2018
0.23,02/11/2016
17.88,04/01/2016
369.01,07/09/2015
27.13,31/12/2017
0.26,01/10/2018
3.71,11/01/2018
66.31,07/01/2016
1.03,05/02/2019
534.76,31/03/2015
14.00,01/09/2016
10.25,02/07/2018
4.40,30/04/2015
60.11,15/11/2017
10.25,19/02/2015
96.19,17/02/2016
11.48,01/07/2018
747.93,25/04/2016
59.40,03/10/2017
5.30,26/05/2015
27.51,22/06/2015
4.95,11/04/2017
1.25,25/07/2016
3.93,22/12/2022
6.50,24/06/2016
6.20,14/05/2021
10.55,30/06/2016
20.00,29/03/2018
187.64,13/12/2016
85.46,11/11/2021
222.62,22/12/2017
1.44,06/07/2015
0.25,04/07/2016
26.35,01/07/2016
65.97,22/12/2015
4.22,07/10/2016
0.59,30/06/2017
5.08,09/12/2015
0.00,27/11/2015
5.20,27/07/2018
28.16,31/07/2015
6.20,08/07/2016
812.10,17/12/2015
15.14,16/05/2015
6.80,01/04/2015
2.23,23/02/2018
20.17,09/02/2018
2.87,12/07/2018
7.32,08/06/2017
77.00,28/04/2016
4.59,25/08/2016
5.50,17/03/2016
6.31,13/04/2016
13.06,24/03/2016
12.25,21/02/2017
1.35,02/02/2016
26.25,09/01/2015
0.34,13/02/2015
14.48,10/12/2015
24.22,01/02/2016
67.30,31/05/2021
40.06,14/11/2017
27.82,09/10/2017
23.52,19/08/2016
24.76,19/12/2022
100.00,31/12/2015
5.11,07/12/2015
4.87,26/07/2022
2.29,31/03/2015
6.60,14/12/2022
6.68,13/10/2015
4.84,15/11/2018
105.00,01/09/2020
0.35,30/06/2016
1.07,01/07/2019
354.02,04/04/2018
11.30,21/12/2022
49.00,31/12/2015
27.37,31/12/2015
15.24,03/09/2019
18.00,16/05/2022
14.75,27/05/2015
28.46,04/11/2016
71.03,30/03/2021
7.80,31/12/2019
160.00,10/08/2015
430.00,31/08/2017
8.74,01/04/2015
0.05,02/02/2017
6.40,01/04/2017
9.76,22/02/2018
3.00,02/06/2015
27.22,03/11/2021
4.37,09/01/2015
11.43,22/09/2016
3.28,01/07/2015
7.89,27/09/2016
2.22,21/06/2016
4.00,04/10/2020
3.63,12/05/2015
24.62,31/12/2016
5.00,19/10/2015
"1,516.98",30/04/2015
104.02,22/08/2016
4.60,09/03/2018
21.00,11/04/2022
0.13,19/03/2015
"1,236.75",30/11/2016
31.97,28/07/2021
19.10,18/08/2021
9.70,08/03/2016
0.56,09/11/2016
6.82,31/12/2015
501.62,14/12/2017
27.68,15/07/2015
8.96,13/06/2016
34.00,22/06/2018
5.60,20/02/2018
24.40,05/12/2022
54.10,26/07/2016
141.00,01/08/2017
71.79,30/10/2015
2.69,14/01/2016
5.04,01/03/2017
37.28,31/03/2017
18.21,31/10/2017
44.40,31/10/2015
5.36,31/01/2017
4.30,31/10/2015
47.20,15/12/2022
0.44,30/06/2022
100.00,30/09/2019
27.31,30/09/2017
86.57,24/04/2015
3.10,15/01/2015
11.70,28/02/2021
38.10,24/01/2017
9.80,14/02/2020
31.00,30/09/2018
12.00,23/11/2016
28.47,10/05/2019
321.28,25/05/2017
61.50,21/06/2017
3.18,05/12/2018
2.21,10/05/2016
5.00,07/10/2015
20.18,06/12/2016
3.09,25/07/2016
9.66,31/01/2015
57.25,22/10/2015
55.16,01/06/2015
15.00,09/12/2016
149.03,02/11/2017
35.38,03/07/2018
29.33,04/07/2016
42.06,02/11/2016
74.43,30/11/2015
2.30,30/06/2017
2.27,06/07/2017
"1,206.55",31/07/2015
4.62,12/08/2016
3.85,05/03/2015
2.78,22/12/2022
40.67,16/02/2015
0.96,13/09/2018
186.02,30/11/2017
21.00,23/06/2015
19.87,31/03/2017
2.20,31/03/2016
25.00,30/09/2016
6.13,26/12/2016
149.50,17/05/2017
"1,181.09",08/01/2015
19.00,12/08/2017
87.50,31/08/2015
21.25,13/09/2022
106.50,31/03/2017
8.41,06/04/2022
"3,139.81",08/12/2015
0.93,31/03/2016
0.03,19/04/2017
12.14,01/10/2020
5.93,21/08/2017
0.69,24/05/2022
600.00,22/11/2016
169.00,31/07/2016
65.35,31/12/2016
111.65,07/09/2015
7.83,24/09/2015
7.38,06/02/2017
42.97,31/12/2017
80.31,15/06/2018
293.60,10/10/2022
1.11,31/10/2017
20.89,21/04/2021
295.55,13/02/2017
24.00,30/06/2018
48.50,16/05/2017
34.55,01/04/2016
32.74,28/10/2016
35.55,30/09/2016
48.09,31/08/2015
93.48,10/01/2018
65.69,27/02/2019
25.00,30/06/2018
2.09,12/11/2015
78.03,26/01/2017
2.60,26/10/2016
23.41,20/10/2016
322.00,22/05/2015
48.25,22/06/2017
1.90,27/01/2017
2.00,30/12/2015
19.60,06/01/2017
14.00,30/09/2015
10.50,17/07/2018
23.70,29/12/2022
5.21,20/03/2015
10.00,01/04/2018
281.95,21/11/2017
81.46,28/04/2016
170.17,19/05/2021
20.00,08/12/2022
9.69,03/02/2015
1.58,30/04/2018
0.80,07/09/2018
50.63,21/06/2022
0.25,15/08/2017
68.23,06/06/2016
5.13,26/06/2015
8.71,15/08/2022
0.34,07/06/2018
630.40,17/11/2022
12.51,03/05/2022
1.45,14/06/2021
333.63,31/08/2021
0.10,10/02/2019
41.00,29/10/2018
"2,334.73",30/05/2016
1.28,28/09/2016
980.00,20/07/2017
39.00,31/12/2016
77.50,20/11/2015
5.47,29/05/2015
0.24,17/06/2022
356.95,18/12/2018
12.96,28/06/2019
3.48,25/03/2016
0.14,16/10/2015
20.86,30/12/2016
1.30,05/02/2016
NA,16/06/2017
35.00,16/12/2021
2.27,05/10/2016
0.38,01/01/2018
0.64,23/03/2015
1.22,26/07/2018
0.74,21/05/2022
138.27,11/05/2022
13.88,31/12/2015
5.84,15/04/2016
35.62,29/06/2018
3.80,08/04/2020
53.28,31/12/2022
82.38,13/05/2015
112.80,14/07/2017
35.18,24/07/2017
1.35,31/03/2017
905.00,17/03/2016
10.32,03/09/2019
9.19,24/07/2020
9.10,15/12/2022
27.50,15/12/2022
3.99,30/06/2015
29.28,17/09/2018
74.60,23/05/2017
0.00,30/01/2015
163.00,09/11/2015
25.79,02/03/2015
67.89,29/04/2015
0.09,05/06/2015
523.26,27/06/2019
86.76,19/01/2015
1.30,30/11/2015
117.00,10/03/2021
153.94,10/11/2015
3.80,30/06/2015
30.80,29/11/2022
0.28,02/07/2018
0.42,08/05/2016
0.80,31/08/2015
10.86,31/10/2015
20.92,23/12/2022
24.88,12/10/2017
2.24,01/07/2019
1.62,16/07/2019
2.26,29/11/2019
120.00,11/04/2018
2.23,31/12/2015
46.44,01/06/2018
3.17,24/06/2020
57.89,28/02/2015
14.25,20/04/2015
3.41,02/06/2015
36.41,07/11/2019
110.10,30/06/2016
"1,600.85",06/02/2019
134.52,01/08/2016
"1,531.21",20/07/2020
156.80,29/02/2016
5.35,18/01/2017
105.15,11/10/2017
244.80,28/07/2022
4.70,27/07/2021
0.00,30/06/2020
9.00,19/06/2017
6.92,08/12/2016
1.41,05/10/2015
2.18,20/03/2015
139.50,01/04/2019
286.89,22/12/2015
15.50,22/01/2015
1.28,09/02/2017
6.92,30/04/2017
0.04,31/08/2022
0.46,09/09/2021
42.00,16/03/2021
14.99,14/09/2021
30.99,01/03/2022
2.50,15/09/2015
1.00,18/08/2017
41.35,23/05/2018
0.00,30/03/2016
7.48,25/09/2021
12.83,20/12/2018
174.82,11/08/2016
301.35,01/10/2020
301.40,09/03/2021
6.43,21/05/2020
38.70,03/11/2022
10.65,03/12/2021
0.00,30/07/2021
5.52,29/09/2021
232.79,03/01/2017
29.07,15/03/2016
6.14,17/09/2015
1.07,28/02/2017
0.45,15/09/2015
13.19,30/06/2021
0.02,30/09/2020
9.88,31/05/2016
534.86,25/08/2016
115.59,24/11/2015
240.40,03/11/2015
0.17,22/01/2016
668.02,12/10/2019
0.78,30/06/2018
2.60,01/03/2019
1.70,07/05/2020
33.00,30/11/2018
NA,31/03/2019
28.87,01/04/2021
7.96,01/04/2016
2.46,01/01/2020
11.97,01/12/2019
3.00,30/07/2015
5.98,29/07/2015
0.40,29/07/2015
1.26,08/09/2021
490.23,05/02/2020
1.08,13/07/2017
40.30,10/01/2020
0.14,25/01/2017
